uri,dcterms:identifier,,ID,rdfs:label,schema:description,schema:category,description:現在の地名,description:リンク,description:備考,description:番号,schema:longitude,schema:latitude,schema:geo^^uri,xywh,schema:url,canvas,schema:relatedLink,schema:image,schema:isPartOf^^uri,description:図
http://example.org/data/10263,10263,,10263,くせ,,干瀬,瀬戸内町諸鈍　※GＭに該当の地形見当たらず,https://goo.gl/maps/Xeepus3gjTJSprfCA,,190,,,,"14010,6625,28,54",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=14010,6625,28,54","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/14010,6625,28,54/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10264,10264,,10264,かめ瀬,,干瀬,瀬戸内町諸鈍,https://goo.gl/maps/KPdDWDVQKL7LPUF3A,,191,,,,"13870,6495,46,90",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=13870,6495,46,90","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/13870,6495,46,90/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10265,10265,,10265,平瀬,,干瀬,瀬戸内町諸鈍,https://goo.gl/maps/P6cnjS97HUrcPPws5,,192,,,,"13791,6523,45,74",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=13791,6523,45,74","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/13791,6523,45,74/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10266,10266,,10266,大立神,,その他,瀬戸内町諸鈍,https://goo.gl/maps/EfSmTMeLwJwaMpQR6,,193,,,,"13630,6688,42,96",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=13630,6688,42,96","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/13630,6688,42,96/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10267,10267,,10267,とく浜,,その他,,,,,,,,"13478,6442,74,61",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=13478,6442,74,61","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/13478,6442,74,61/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10268,10268,,10268,二ツ瀬,,干瀬,瀬戸内町諸鈍、現崎根鼻（私見）,https://goo.gl/maps/SL1jgyWguR45pxYH6,,194,,,,"13177,6526,41,72",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=13177,6526,41,72","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/13177,6526,41,72/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10269,10269,,10269,長浜,,その他,瀬戸内町諸鈍,https://goo.gl/maps/YfESSdUXs1GQtkPS6,,195,,,,"13588,6273,39,65",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=13588,6273,39,65","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/13588,6273,39,65/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10270,10270,,10270,かまひせ,,干瀬,瀬戸内町秋徳,https://goo.gl/maps/mc5aTedTN5xRVxvJ6,,196,,,,"13162,6025,98,97",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=13162,6025,98,97","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/13162,6025,98,97/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10271,10271,,10271,平瀬,,干瀬,,,,197,,,,"13063,6058,50,71",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=13063,6058,50,71","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/13063,6058,50,71/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10272,10272,,10272,地のはなれ,,その他,,,,198,,,,"12890,5988,137,135",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=12890,5988,137,135","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/12890,5988,137,135/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10273,10273,,10273,くさ瀬,,干瀬,,,,199,,,,"12852,5761,94,105",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=12852,5761,94,105","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/12852,5761,94,105/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10274,10274,,10274,赤崎,,崎,,,,200,,,,"12881,5360,81,89",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=12881,5360,81,89","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/12881,5360,81,89/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10275,10275,,10275,此間十五町,,その他,,,,201,,,,"12442,4873,165,110",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=12442,4873,165,110","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/12442,4873,165,110/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10276,10276,,10276,すりかふ瀬,,干瀬,瀬戸内町西阿室、現大瀬崎（私見）,https://goo.gl/maps/y1ZaqRZhuPHrvdF89,,202,,,,"12525,4732,128,89",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=12525,4732,128,89","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/12525,4732,128,89/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10277,10277,,10277,立神,,その他,瀬戸内町阿多地,https://goo.gl/maps/iQKa8qbVcgah1NHf9,,203,,,,"12823,4504,65,41",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=12823,4504,65,41","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/12823,4504,65,41/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10278,10278,,10278,やんま崎,,崎,,,,204,,,,"12912,4323,126,73",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=12912,4323,126,73","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/12912,4323,126,73/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
